City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
355,vila praia de ancora,40,PT,1560162657,51,41.81,-8.85,64.0,6.93
356,lasa,20,CY,1560162658,65,34.92,32.53,79.0,9.17
357,presidencia roque saenz pena,100,AR,1560162658,69,-26.79,-60.44,71.36,6.73
358,mahanoro,26,MG,1560162658,94,-19.9,48.8,70.1,4.21
359,zabaykalsk,8,CN,1560162659,46,49.64,117.33,71.0,7.02
360,hami,1,CN,1560162659,19,42.84,93.51,84.68,3.04
361,chunskiy,98,RU,1560162660,57,56.08,99.63,69.92,10.25
362,iqaluit,90,CA,1560162660,66,63.75,-68.52,33.8,9.17
363,oriximina,71,BR,1560162661,76,-1.77,-55.87,80.9,4.0
364,broken hill,0,AU,1560162661,50,-31.97,141.45,53.6,1.12
365,toora-khem,99,RU,1560162662,77,52.47,96.11,51.74,10.13
366,usinsk,100,RU,1560162662,78,66.0,57.56,46.34,16.22
367,orbetello,20,IT,1560162663,31,42.44,11.21,89.6,26.4
368,santana,40,BR,1560162663,100,-0.06,-51.18,75.2,2.24
369,bullhead city,1,US,1560162664,8,35.15,-114.57,86.0,23.04
370,adrar,0,DZ,1560162664,5,27.87,-0.29,100.4,14.99
371,cizer,0,RO,1560162664,59,47.07,22.86,79.28,8.3
372,komsomolskiy,57,RU,1560162665,63,67.55,63.78,38.96,5.7
373,te anau,95,NZ,1560162665,97,-45.41,167.72,42.2,3.06
374,shelburne,20,CA,1560162666,68,44.08,-80.2,66.99,10.29
375,kaseda,75,JP,1560162631,69,31.42,130.32,77.0,5.82
376,kautokeino,99,NO,1560162666,89,69.01,23.04,35.9,25.88
377,karratha,0,AU,1560162495,39,-20.74,116.85,73.12,11.07
378,yakeshi,79,CN,1560162454,53,49.28,120.73,72.58,4.85
379,kamien pomorski,0,PL,1560162667,82,53.97,14.77,70.0,6.93
380,tessalit,0,ML,1560162667,12,20.2,1.01,107.18,5.35
381,walvis bay,0,NA,1560162668,27,-22.95,14.51,73.4,8.05
382,cabedelo,75,BR,1560162668,100,-6.97,-34.84,75.2,3.36
383,mucuri,100,BR,1560162668,93,-18.08,-39.55,69.92,6.17
384,mayya,0,RU,1560162669,28,61.74,130.28,71.6,6.71
385,xai-xai,0,MZ,1560162669,35,-25.04,33.64,82.52,6.44
386,labuhan,97,ID,1560162669,91,-2.54,115.51,77.12,2.26
387,giraltovce,0,SK,1560162670,51,49.11,21.52,84.0,5.82
388,dingle,100,PH,1560162670,77,11.0,122.67,81.26,5.17
389,cockburn town,94,TC,1560162671,77,21.46,-71.14,82.52,14.9
390,fayaoue,0,NC,1560162671,72,-20.65,166.53,73.34,16.96
391,stalybridge,44,GB,1560162672,59,53.48,-2.06,64.99,10.29
392,lompoc,1,US,1560162672,87,34.64,-120.46,63.0,8.05
393,pacifica,75,US,1560162672,64,37.61,-122.49,75.99,5.44
394,murray bridge,0,AU,1560162673,85,-35.12,139.28,53.01,6.02
395,riyadh,0,SA,1560162394,7,24.63,46.72,111.2,4.7
396,richards bay,0,ZA,1560162673,50,-28.77,32.06,75.14,4.36
397,antsohihy,0,MG,1560162674,56,-14.88,47.99,83.42,18.81
398,buenos aires,75,AR,1560162411,93,-34.61,-58.44,62.01,8.05
399,portland,1,US,1560162438,51,45.52,-122.67,62.6,5.82
400,ternate,75,PH,1560162675,83,14.29,120.72,84.99,5.93
401,jinka,73,ET,1560162675,91,5.79,36.57,68.12,3.18
402,umm lajj,0,SA,1560162676,64,25.02,37.27,86.66,18.7
403,roald,75,NO,1560162676,87,62.58,6.12,60.8,21.92
404,banjar,94,ID,1560162677,95,-7.37,108.54,73.7,2.89
405,duldurga,47,RU,1560162677,57,50.67,113.59,68.12,3.76
406,coihaique,0,CL,1560162677,59,-45.58,-72.07,37.4,4.7
407,jeremie,30,HT,1560162678,71,18.65,-74.12,82.34,1.77
408,yurty,100,RU,1560162678,84,56.05,97.64,60.74,8.39
409,eyl,100,SO,1560162679,40,7.98,49.82,89.72,24.2
410,liuli,6,TZ,1560162679,69,-11.1,34.65,73.52,16.91
411,abnub,0,EG,1560162679,24,27.27,31.15,93.2,11.41
412,general jose eduvigis diaz,0,PY,1560162680,73,-27.17,-58.42,69.8,10.29
413,middletown,1,US,1560162680,87,41.55,-71.29,59.0,3.36
414,svetlogorsk,20,RU,1560162681,34,53.14,59.15,80.6,13.42
415,valparaiso,90,US,1560162681,93,41.47,-87.06,64.99,9.17
416,freeport,81,BS,1560162682,73,26.54,-78.7,83.6,8.75
417,nishihara,75,JP,1560162682,93,35.74,139.53,63.0,11.41
418,florida ridge,1,US,1560162682,94,27.58,-80.39,75.99,3.36
419,vao,17,EE,1560162683,42,59.1,26.19,68.48,10.4
420,warwick,75,US,1560162683,76,41.7,-71.42,57.99,3.36
421,port lincoln,0,AU,1560162684,69,-34.72,135.86,61.46,20.49
422,sibolga,33,ID,1560162684,72,1.74,98.78,84.32,4.76
423,lebyazhye,40,RU,1560162684,46,59.96,29.42,69.8,15.66
424,del rio,75,US,1560162685,88,29.36,-100.9,73.4,8.05
