City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
481,davila,75,PH,1560164830,70,18.47,120.58,89.6,10.29
482,mozarlandia,84,BR,1560164831,55,-14.74,-50.57,76.94,3.65
483,tomatlan,100,MX,1560164831,85,19.93,-105.25,76.94,1.86
484,nakasongola,84,UG,1560164831,63,1.32,32.46,78.38,4.79
485,salinopolis,37,BR,1560164832,73,-0.61,-47.36,82.7,12.08
486,ouadda,91,CF,1560164832,47,8.07,22.4,88.46,5.01
487,broken hill,0,AU,1560164833,50,-31.97,141.45,53.6,1.12
488,ozark,1,US,1560164833,72,37.02,-93.21,62.6,6.93
489,tomra,75,NO,1560164833,81,62.59,6.93,61.0,20.8
490,lashio,76,MM,1560164834,58,22.93,97.75,85.4,2.39
491,bridlington,75,GB,1560164834,93,54.08,-0.19,60.8,8.05
492,northam,40,GB,1560164835,63,51.04,-4.21,66.99,10.29
493,tomsani,75,RO,1560164835,61,44.95,26.28,86.0,20.8
494,rampur,0,IN,1560164835,7,28.8,79.03,115.46,10.04
495,pueblo nuevo,36,MX,1560164836,95,23.99,-106.96,73.99,2.48
496,baker city,1,US,1560164802,66,44.77,-117.83,48.2,4.85
497,novobirilyussy,34,RU,1560164837,55,56.95,90.69,69.92,5.73
498,gazojak,0,TM,1560164837,20,41.19,61.4,83.96,17.63
499,conde,25,BR,1560164838,93,-11.81,-37.61,74.6,5.3
500,vestmannaeyjar,0,IS,1560164838,71,63.44,-20.27,51.8,5.82
501,lanigan,0,CA,1560164838,71,51.85,-105.03,44.54,6.08
502,puerto del rosario,75,ES,1560164839,64,28.5,-13.86,73.4,17.22
503,abu dhabi,0,AE,1560164539,24,24.47,54.37,107.6,18.34
504,denpasar,75,ID,1560164591,88,-8.65,115.22,78.8,10.29
505,zhuhai,0,CN,1560164840,17,40.71,112.04,84.2,6.71
506,boffa,100,GN,1560164840,82,10.18,-14.04,80.9,7.72
507,barreiras,2,BR,1560164840,61,-12.14,-45.0,75.68,6.6
508,leningradskiy,43,RU,1560164841,92,69.38,178.42,38.78,4.14
509,rasht,20,IR,1560164841,48,37.28,49.58,86.0,6.93
510,talavera de la reina,20,ES,1560164841,19,39.96,-4.83,80.01,1.01
511,lima,90,PE,1560164842,100,-12.06,-77.04,60.8,5.82
512,quetigny,100,FR,1560164842,82,47.31,5.12,64.4,8.05
513,pineville,1,US,1560164843,94,31.32,-92.43,73.4,3.36
514,gbarnga,100,LR,1560164843,91,7.0,-9.47,76.94,1.34
515,cap-aux-meules,20,CA,1560164844,76,47.38,-61.86,48.2,12.75
516,sao gabriel da cachoeira,72,BR,1560164844,97,-0.13,-67.09,74.96,0.63
517,aitape,72,PG,1560164844,78,-3.15,142.36,81.62,8.01
518,biryusinsk,100,RU,1560164845,84,55.96,97.82,60.74,8.39
519,pisco,90,PE,1560164845,93,-13.71,-76.2,62.6,3.36
520,marsta,20,SE,1560164845,55,59.93,17.59,69.01,14.99
521,cabanbanan,100,PH,1560164846,77,10.18,122.9,83.78,6.02
522,kingaroy,29,AU,1560164846,87,-26.54,151.84,59.0,5.68
523,maanshan,0,CN,1560164804,42,31.7,118.5,82.4,8.95
524,praia da vitoria,75,PT,1560164847,64,38.73,-27.07,69.01,6.22
525,cap malheureux,90,MU,1560164847,78,-19.98,57.61,77.0,10.29
526,hamilton,75,BM,1560164847,88,32.3,-64.78,75.2,5.08
527,roma,0,IT,1560164770,31,41.89,12.48,91.99,8.05
528,kakamega,40,KE,1560164848,48,0.28,34.75,82.4,5.82
529,toamasina,75,MG,1560164848,83,-18.17,49.38,77.0,10.29
530,talara,0,PE,1560164849,87,-4.58,-81.27,69.38,17.96
531,hondo,90,US,1560164849,83,29.35,-99.14,75.99,6.93
532,sikasso,61,ML,1560164850,35,11.32,-5.68,99.08,3.58
533,gryazovets,48,RU,1560164850,38,58.88,40.25,76.22,10.38
534,llangefni,20,GB,1560164759,71,53.26,-4.31,57.2,10.29
535,zhigansk,86,RU,1560164850,61,66.77,123.37,65.24,15.93
